location_id,zone,coordinate_x,coordinate_y
1,Newark Airport,-74.17400027276304,40.691831206401325
2,Jamaica Bay,-73.83129854302213,40.61674529165957
3,Allerton/Pelham Gardens,-73.84742223236718,40.86447368477527
4,Alphabet City,-73.97696825691759,40.72375214158459
5,Arden Heights,-74.18848410184935,40.55265928694546
6,Arrochar/Fort Wadsworth,-74.07177055895134,40.600324146034424
7,Astoria,-73.91969431946075,40.7614925621636
8,Astoria Park,-73.9230861575075,40.778558653750515
9,Auburndale,-73.7879488777789,40.75103502557218
24,Bloomingdale,-73.96547951516966,40.801970493899425
10,Baisley Park,-73.79098635986959,40.678953310115105
11,Bath Beach,-74.00748815801177,40.60427284003062
12,Battery Park,-74.01556351255894,40.70294583498452
13,Battery Park City,-74.01607915192938,40.71203815707432
18,Bedford Park,-73.89018328872038,40.86768245607527
25,Boerum Hill,-73.98611382213656,40.68563374132041
14,Bay Ridge,-74.02989237418787,40.62483492360799
15,Bay Terrace/Fort Totten,-73.78597227877704,40.783333047260825
22,Bensonhurst West,-73.99525857986232,40.61221825780545
23,Bloomfield/Emerson Hill,-74.17088688155253,40.60644770102735
16,Bayside,-73.77342181890143,40.762738375442225
17,Bedford,-73.9499050350751,40.69150749488049
19,Bellerose,-73.72665537528698,40.73548677976318
20,Belmont,-73.88586748106964,40.85777967544136
21,Bensonhurst East,-73.98353709672229,40.60142943983495
26,Borough Park,-73.98866123078287,40.63094965524526
27,Breezy Point/Fort Tilden/Riis Beach,-73.90690832237571,40.5591332794673
28,Briarwood/Jamaica Hills,-73.80872901637508,40.71159635794484
33,Brooklyn Heights,-73.99525011996629,40.695798221211106
29,Brighton Beach,-73.96121676866845,40.580921971933584
31,Bronx Park,-73.87547595053037,40.85774668091573
32,Bronxdale,-73.86490099876723,40.86400220602343
30,Broad Channel,-73.82192695679392,40.603687442135325
34,Brooklyn Navy Yard,-73.97118869233043,40.70085573851691
35,Brownsville,-73.91025783136135,40.664003117925766
36,Bushwick North,-73.91771053131578,40.700522199519
37,Bushwick South,-73.92224002165723,40.69499431844193
38,Cambria Heights,-73.73555427058828,40.69434146723156
39,Canarsie,-73.89973495669389,40.63803713911685
40,Carroll Gardens,-73.99595619089156,40.6791990140969
41,Central Harlem,-73.95129200243512,40.80433394979442
45,Chinatown,-73.99815149899052,40.71245931177932
46,City Island,-73.78198714613215,40.84908594313943
42,Central Harlem North,-73.94077166756259,40.818257861119044
43,Central Park,-73.96555356545908,40.78247809974769
44,Charleston/Tottenville,-74.23353354937646,40.525494581763574
47,Claremont/Bathgate,-73.90031590586496,40.842749176097854
48,Clinton East,-73.989844643133,40.76225275531919
49,Clinton Hill,-73.96236353818352,40.687967457147245
50,Clinton West,-73.9951352207551,40.766237725041655
51,Co-Op City,-73.82826367307182,40.873973054920086
52,Cobble Hill,-73.99672403175194,40.68665124165588
53,College Point,-73.84281349543171,40.780912355790896
54,Columbia Street,-74.00291127745284,40.68720074733709
55,Coney Island,-73.98794343407188,40.576960753637564
56,Corona,-73.85884524944,40.74140677482956
56,Corona,-73.85358156034263,40.751819366999264
58,Country Club,-73.82039319252782,40.84145210068231
59,Crotona Park,-73.89498588493974,40.83855028852771
60,Crotona Park East,-73.88590003419164,40.83399047727372
61,Crown Heights North,-73.93928705867955,40.67446941826625
62,Crown Heights South,-73.94878853931498,40.666540405785405
63,Cypress Hills,-73.87817261050249,40.68383976195084
64,Douglaston,-73.7393371499285,40.76061560532138
65,Downtown Brooklyn/MetroTech,-73.98608600498395,40.695337529460986
72,East Flatbush/Remsen Village,-73.92225097400487,40.65236480407718
66,DUMBO/Vinegar Hill,-73.98570161582278,40.7022589388223
67,Dyker Heights,-74.01380148744013,40.619619467834944
68,East Chelsea,-73.99991742024714,40.74842755506554
73,East Flushing,-73.80729418212232,40.75410888689277
69,East Concourse/Concourse Village,-73.91502929553266,40.83141669708498
70,East Elmhurst,-73.86839559842015,40.763352201132975
71,East Flatbush/Farragut,-73.93796627061685,40.64428817438895
79,East Village,-73.98593745682464,40.72762019590936
80,East Williamsburg,-73.93679314491878,40.715369882143314
74,East Harlem North,-73.93734560812489,40.801169480586296
85,Erasmus,-73.95162318261008,40.64611634689489
86,Far Rockaway,-73.75524369679556,40.60243279341622
75,East Harlem South,-73.94575026755157,40.7900107514952
76,East New York,-73.87682061127202,40.660935196550405
77,East New York/Pennsylvania Avenue,-73.89536411750329,40.66655893903507
78,East Tremont,-73.88552181587433,40.84496041014594
81,Eastchester,-73.83664334408299,40.88093541148925
87,Financial District North,-74.00749598562426,40.706808451665665
82,Elmhurst,-73.87711833280919,40.73949564677802
83,Elmhurst/Maspeth,-73.89217338112863,40.73832381382578
84,Eltingville/Annadale/Prince's Bay,-74.18767433468827,40.52868644656603
88,Financial District South,-74.01151502922316,40.703357903235975
89,Flatbush/Ditmas Park,-73.96096824906373,40.637900123473564
90,Flatiron,-73.99697141558367,40.74227862901209
125,Hudson Sq,-74.00748581800949,40.726290410281024
91,Flatlands,-73.93009701219937,40.626272763336225
92,Flushing,-73.82885869884264,40.761102189834205
93,Flushing Meadows-Corona Park,-73.84086726234158,40.740675872160516
94,Fordham South,-73.89953593442144,40.85815519618384
95,Forest Hills,-73.84766941187522,40.721432275021115
96,Forest Park/Highland Park,-73.87155842518146,40.697000613100926
97,Fort Greene,-73.97488208618893,40.69078679421068
98,Fresh Meadows,-73.77725346665986,40.73446262820073
99,Freshkills Park,-74.18641851305911,40.576773635486845
100,Garment District,-73.98878659911529,40.75351275872555
101,Glen Oaks,-73.71102598691229,40.74599381838399
102,Glendale,-73.87573576709777,40.70354561076272
103,Governor's Island/Ellis Island/Liberty Island,-74.04528829364004,40.689860103659996
103,Governor's Island/Ellis Island/Liberty Island,-74.04077076873651,40.69876867362594
103,Governor's Island/Ellis Island/Liberty Island,-74.01907272636822,40.68878423861278
106,Gowanus,-73.99064727363117,40.67351279686057
107,Gramercy,-73.98405213268907,40.73682405761877
108,Gravesend,-73.98143115020042,40.58840346529011
